FID,BPUIC,BEZEICHNUN,GEMEINDENA,BFS_NUMMER,KANTONSKUE,E_WGS84,N_WGS84
547,8579881,"Heiligkreuz (Mels), Staatsstr.",Mels,3293,SG,9.414167320000001,47.056685350000002
548,8530502,Gaffia (Bergstation),Vilters-Wangs,3297,SG,9.412819030000000,46.991122890000000
549,8574823,"Mels, Steigs",Mels,3293,SG,9.415345400000000,47.039362189999999
550,8509979,"Mels, Aussicht",Mels,3293,SG,9.417108900000001,47.041140360000000
551,8509412,Mels,Mels,3293,SG,9.417758270000000,47.053746250000003
552,8574033,Zollhaus b. Gams,Gams,3272,SG,9.423308090000001,47.197584939999999
553,8509440,Pizolhütte,Vilters-Wangs,3297,SG,9.417035289999999,46.979217849999998
554,8579883,"Mels, Bahnhofstrasse",Mels,3293,SG,9.419824569999999,47.049803439999998
555,8581772,"Mels, Hallenbad",Mels,3293,SG,9.426263640000000,47.047361639999998
556,8508037,"Gähwil, Sportstrasse",Kirchberg (SG),3392,SG,9.000642020000001,47.396401050000001
557,8579888,"Mels, Schwarzackerstrasse",Mels,3293,SG,9.429246859999999,47.048290690000002
558,8579996,"Grabs, Säntisstrasse",Grabs,3273,SG,9.434315950000000,47.183394260000000
559,8583788,"Steinach, Hafen",Steinach,3217,SG,9.447088320000001,47.501630280000001
560,8595259,"Buchserberg, Berghaus",Buchs (SG),3271,SG,9.434999540000000,47.145853080000002
561,8573861,"Uznach, Rotfarb",Uznach,3339,SG,8.999060849999999,47.220321730000002
562,8574617,"Wangs, Parkhotel",Vilters-Wangs,3297,SG,9.434183590000000,47.036624619999998
563,8509780,"Gams, Zentrum",Gams,3272,SG,9.442396240000001,47.203912379999998
564,8574616,"Sargans, Castels",Sargans,3296,SG,9.437892430000000,47.045378020000001
565,8530506,Laufböden (Bergstation),Bad Ragaz,3291,SG,9.436485149999999,46.979708240000001
566,8517502,Sargans Kabelhaus,Sargans,3296,SG,9.440016040000000,47.047608480000001
567,8573850,"Gebertingen, Frohe Aussicht",Gommiswald,3341,SG,9.002574020000001,47.252382210000000
568,8503577,"Uznach, Sonnenhof",Uznach,3339,SG,9.002712010000000,47.227766209999999
569,8573988,"Dreien, Freihof",Mosnang,3394,SG,9.009351779999999,47.370527330000002
570,8573845,"Ernetschwil, Hinterernetschwil",Gommiswald,3341,SG,9.006103749999999,47.237589149999998
571,8583511,"Benken SG, Schönau",Benken (SG),3312,SG,9.007280900000000,47.203449630000001
572,8503118,Benken SG,Benken (SG),3312,SG,9.008654220000000,47.204458129999999
573,8573846,"Gommiswald, Kistler",Gommiswald,3341,SG,9.015911010000000,47.236897489999997
574,8587781,"Kirchberg SG, Remis",Kirchberg (SG),3392,SG,9.024888580000001,47.418695589999999
575,8586784,36 PU PAUT Libingen,Mosnang,3394,SG,9.022926770000000,47.329253749999999
576,8503117,Kaltbrunn,Kaltbrunn,3313,SG,9.022431020000001,47.217983189999998
577,8573877,"Kaltbrunn, Stiggleten",Kaltbrunn,3313,SG,9.022439860000000,47.208945829999998
578,8589924,"Bronschhofen, Bildfeld Süd",Wil (SG),3427,SG,9.030554320000000,47.466331980000000
579,8506180,Wil Bergholz,Wil (SG),3427,SG,9.032413880000000,47.461538580000003
580,8587756,"Bronschhofen, Eggwilstrasse",Wil (SG),3427,SG,9.033103649999999,47.484108589999998
581,8573996,"Libingen, Hinterhofen",Mosnang,3394,SG,9.028807499999999,47.333790600000000
582,8574445,"Uetliburg SG, Brunnacker",Gommiswald,3341,SG,9.026288820000000,47.245634410000001
583,8578598,"Wil SG, Lenzenbüel",Wil (SG),3427,SG,9.033129580000001,47.464173490000000
584,8594382,"Walde SG, Oberricken",Eschenbach (SG),3342,SG,9.027628569999999,47.273351820000002
585,8503770,"Uetliburg SG, Säge",Gommiswald,3341,SG,9.026935650000000,47.239840760000000
