BPUIC;BEZEICHNUNG_OFFIZIELL;GEMEINDENAME;BFS_NUMMER;KANTONSKUERZEL;E_WGS84;N_WGS84
8508153;Aarwangen;Aarwangen;321.0;BE;7.76961921;47.24087527
8500213;Oberbuchsiten;Oberbuchsiten;2406.0;SO;7.77172376;47.30524723
8508100;Langenthal;Langenthal;329.0;BE;7.78471514;47.21730286
8500025;Itingen;Itingen;2849.0;BL;7.78722598;47.46727872
8508182;Lotzwil;Lotzwil;331.0;BE;7.78858905;47.18949366
8508184;Lindenholz;Madiswil;332.0;BE;7.79046925;47.15456317
8508185;Kleindietwil;Madiswil;332.0;BE;7.79097469;47.14630791
8506016;Oberwinterthur;Winterthur;230.0;ZH;8.760389199999999;47.50792233
8506038;Winterthur Wallrüti;Winterthur;230.0;ZH;8.76088217;47.51672166
8505492;Verscio;Terre di Pedemonte;5396.0;TI;8.72972;46.18457
8503289;Freienbach SOB;Freienbach;1322.0;SZ;8.75938001;47.20419999
8506002;Winterthur Seen;Winterthur;230.0;ZH;8.76681349;47.48743542
8505175;Rueras;Tujetsch;3986.0;GR;8.7549;46.67823002
8503109;Feldbach;Hombrechtikon;153.0;ZH;8.78349777;47.23920354
8506005;Rikon;Zell (ZH);231.0;ZH;8.79633215;47.44500982
8505472;Solduno;Locarno;5113.0;TI;8.77765;46.16953
8508168;Roggwil Buchägerten;Roggwil (BE);337.0;BE;7.8319399999999995;47.23565998
8500215;Hägendorf;Hägendorf;2579.0;SO;7.843816400000001;47.330267799999994
8500027;Gelterkinden;Gelterkinden;2846.0;BL;7.84766722;47.46589372
8507493;Interlaken West;Interlaken;581.0;BE;7.85145314;46.682628
8505408;Ranzo-S. Abbondio;Gambarogno;5398.0;TI;8.77653771;46.11699782
8505410;Gerra (Gambarogno);Gambarogno;5398.0;TI;8.78496977;46.12204096
8503110;Rapperswil;Rapperswil-Jona;3340.0;SG;8.81674489;47.224887200000005
8505178;Mumpé Tujetsch;Disentis/Mustér;3982.0;GR;8.82699503;46.68212041
8507388;Wilderswil;Wilderswil;594.0;BE;7.86947001;46.6657
8508103;Rothrist;Rothrist;4282.0;AG;7.87939647;47.30645568
8500218;Olten;Olten;2581.0;SO;7.90769965;47.35193476
8503139;Tann-Dürnten;Dürnten;113.0;ZH;8.85272273;47.26837759
8505205;Lavorgo;Faido;5072.0;TI;8.83974742;46.44090173
8505401;Tenero;Tenero-Contra;5131.0;TI;8.85022619;46.17746746
8506137;Mammern;Mammern;4826.0;TG;8.91400063;47.6441602
8508293;Zell;Zell (LU);1150.0;LU;7.92638197;47.13675415
8503138;Wald;Wald (ZH);120.0;ZH;8.91399975;47.2726905
8506173;Weberei Matzingen;Matzingen;4591.0;TG;8.922189999999999;47.52722
8508302;Niederried;Niederried bei Interlaken;588.0;BE;7.928669999999999;46.71642002
8505412;Riazzino;Locarno;5113.0;TI;8.88639737;46.1753363
8508210;Escholzmatt;Escholzmatt-Marbach;1010.0;LU;7.93637796;46.91534823
8505395;Agno;Agno;5141.0;TI;8.90091999;45.99593
8506175;Jakobstal;Wängi;4781.0;TG;8.94425;47.5089
8505390;Serocca;Agno;5141.0;TI;8.90457;46.008520000000004
8507383;Lütschental;Lütschental;586.0;BE;7.948989999999999;46.63709999
8508303;Oberried am Brienzersee;Oberried am Brienzersee;589.0;BE;7.95892;46.73655001
8502111;Däniken;Däniken;2572.0;SO;7.97877134;47.35639009
8505217;Mezzovico;Mezzovico-Vira;5199.0;TI;8.9285903;46.09427596
8500304;Eiken;Eiken;4161.0;AG;7.98979755;47.53304427
8505219;Lamone-Cadempino;Lamone;5189.0;TI;8.93212502;46.03971862
8506177;Rosental;Wängi;4781.0;TG;8.97524;47.49228
8508295;Willisau;Willisau;1151.0;LU;7.99671805;47.12272067
8517519;Stabio;Stabio;5266.0;TI;8.94394221;45.84970966
8507552;Brandegg;Grindelwald;576.0;BE;8.01117403;46.60918043
8505302;Melide;Melide;5198.0;TI;8.948359199999999;45.9557135
8508329;Brienz West;Brienz (BE);573.0;BE;8.02036;46.75731001
8506103;Müllheim-Wigoltingen;Wigoltingen;4951.0;TG;9.01552206;47.58816457
8508297;Menznau;Menznau;1136.0;LU;8.04088739;47.08342723
8502181;Oberentfelden Uerkenbrücke;Oberentfelden;4010.0;AG;8.04567;47.36107
8508305;Brienz;Brienz (BE);573.0;BE;8.03894001;46.75484001
8503240;Linthal Braunwaldbahn;Glarus Süd;1631.0;GL;9.00249142;46.92839579
8506182;Bettwiesen;Bettwiesen;4716.0;TG;9.020760000000001;47.49862
8503237;Diesbach-Betschwanden;Glarus Süd;1631.0;GL;9.02437338;46.94618081
8508306;Brienzwiler;Brienzwiler;574.0;BE;8.09062999;46.74565001
8502160;Gränichen;Gränichen;4006.0;AG;8.09877999;47.36165999
8501674;Grengiols;Grengiols;6177.0;VS;8.09168;46.37520999
8502184;Gränichen Oberdorf;Gränichen;4006.0;AG;8.10648;47.35653
8502161;Teufenthal AG;Teufenthal (AG);4145.0;AG;8.114469999999999;47.3294
8502183;Oberkulm Post;Oberkulm;4140.0;AG;8.11940999;47.30409999
8502008;Nottwil;Nottwil;1094.0;LU;8.13860102;47.13881174
8508309;Brünig-Hasliberg;Meiringen;785.0;BE;8.13865;46.75776001
8502128;Holderbank AG;Holderbank (AG);4199.0;AG;8.16662237;47.42864253
8502166;Leimbach AG;Leimbach (AG);4137.0;AG;8.16786001;47.27271
8506205;Bazenheid;Kirchberg (SG);3392.0;SG;9.069059800000002;47.41012654
8503228;Netstal;Glarus;1632.0;GL;9.05943591;47.06452902
8503234;Nidfurn-Haslen;Glarus Süd;1631.0;GL;9.05927646;46.98589452
8509175;Tavanasa-Breil/Brigels;Breil/Brigels;3981.0;GR;9.06243;46.75476001
8503230;Glarus;Glarus;1632.0;GL;9.07156641;47.03992414
8506201;Lichtensteig;Wattwil;3379.0;SG;9.08316999;47.31969
8506200;Wattwil;Wattwil;3379.0;SG;9.08646;47.299479999999996
8503233;Schwanden GL;Glarus Süd;1631.0;GL;9.07746572;46.99685224
8501669;Blitzingen;Goms;6077.0;VS;8.20497001;46.44466
8502106;Mägenwil;Mägenwil;4032.0;AG;8.23515522;47.41450817
8530800;Innertkirchen Unterwasser;Innertkirchen;784.0;BE;8.22608;46.70810001
8506132;Tägerwilen-Gottlieben;Tägerwilen;4696.0;TG;9.13297928;47.65961479
8506297;Ebnat-Kappel;Ebnat-Kappel;3352.0;SG;9.12096999;47.263659999999994
8508313;Sachseln;Sachseln;1406.0;OW;8.2383;46.87096
8516176;Klingnau;Klingnau;4309.0;AG;8.24905013;47.58199892
8509174;Waltensburg/Vuorz;Breil/Brigels;3981.0;GR;9.12015001;46.76956001
8506197;Kreuzlingen Bernrain;Kreuzlingen;4671.0;TG;9.16318;47.64212
8506193;Kehlhof;Berg (TG);4891.0;TG;9.16976;47.57219
8509173;Rueun;Ilanz/Glion;3619.0;GR;9.145610000000001;46.77469001
8506298;Krummenau;Nesslau;3360.0;SG;9.16794;47.24886
8506128;Kreuzlingen Hafen;Kreuzlingen;4671.0;TG;9.18198227;47.64916396
8506196;Lengwil;Lengwil;4683.0;TG;9.19025;47.6256
8502026;Gelfingen;Hitzkirch;1030.0;LU;8.26482492;47.21355902
8502213;Wohlen AG;Wohlen (AG);4082.0;AG;8.26979234;47.34846404
8516219;Mellingen Heitersberg;Mellingen;4033.0;AG;8.27636325;47.42807509
8502214;Boswil-Bünzen;Boswil;4228.0;AG;8.31528359;47.30518168
8503408;Rekingen AG;Rekingen (AG);4315.0;AG;8.32712568;47.56997139
8502272;Bremgarten West;Bremgarten (AG);4063.0;AG;8.33731;47.34558
8502215;Muri AG;Muri (AG);4236.0;AG;8.33982073;47.27666623
8517336;Luzern Verkehrshaus;Luzern;1061.0;LU;8.33729733;47.05393231
8503414;Mellikon;Mellikon;4314.0;AG;8.35251072;47.56848468
8517377;Bibenlos-Sonnenhof;Bremgarten (AG);4063.0;AG;8.35027;47.353790000000004
8503506;Killwangen-Spreitenbach;Killwangen;4030.0;AG;8.354214;47.43332886
8502188;Zufikon Hammergut;Zufikon;4083.0;AG;8.3546;47.3559
8502274;Zufikon;Zufikon;4083.0;AG;8.35471;47.35252
8503415;Rümikon AG;Rümikon;4317.0;AG;8.37366692;47.56538385
8503318;Niederweningen Dorf;Niederweningen;91.0;ZH;8.38107348;47.50591365
8502217;Mühlau;Mühlau;4235.0;AG;8.38852403;47.22501997
8505585;Druogno;;;;8.43342356;46.13314906
8502203;Cham;Cham;1702.0;ZG;8.45750476;47.17824386
8591428;Zürich Werdhölzli;Zürich;261.0;ZH;8.48201724;47.39783155
8505581;S. Maria Maggiore;;;;8.46072697;46.13659359
8591036;Zürich Albisrieden;Zürich;261.0;ZH;8.48478923;47.37438344
8591167;Zürich Grünaustrasse;Zürich;261.0;ZH;8.48921233;47.39522977
8591423;Zürich Wartau;Zürich;261.0;ZH;8.49162661;47.40277259
8591363;Zürich Siemens;Zürich;261.0;ZH;8.49401874;47.37846295
8503313;Niederglatt;Niederglatt;89.0;ZH;8.50331558;47.48747102
8580912;Zürich Schaufelbergerstrasse;Zürich;261.0;ZH;8.50184117;47.36890266
8503053;Zürich Schweighof;Zürich;261.0;ZH;8.50305;47.364979999999996
8591353;Zürich Schwert;Zürich;261.0;ZH;8.50461579;47.39973014
8591374;Zürich Sportweg;Zürich;261.0;ZH;8.50585659;47.39162187
8503008;Zürich Affoltern;Zürich;261.0;ZH;8.50858256;47.42090895
8591390;Zürich Talwiesenstrasse;Zürich;261.0;ZH;8.50964747;47.36994593
8591038;Zürich Albisriederplatz;Zürich;261.0;ZH;8.5103963;47.37821448
8591385;Zürich Strassenverkehrsamt;Zürich;261.0;ZH;8.51132064;47.35315316
